District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,clayskeletal_count,clayskeletal_sum,clayskeletal_mean
MORBI,GUJAR>T,,24,"673",539476.76472300000,4791280260.47000026703,198,0,0
AHMAD>B>D,GUJAR>T,,24,"438",857254.09464699996,6966373705.02999973297,289,147,0.508650519031142
>NAND,GUJAR>T,,24,"440",393046.69052300003,3054307464.84000015259,126,0,0
DEVBHUMI DW>RKA,GUJAR>T,,24,"674",661732.98652999999,4002784449.65999984741,167,0,0
J>MNAGAR,GUJAR>T,,24,"447",737428.07188399998,5694270687.81999969482,240,0,0
KACHCHH,GUJAR>T,,24,"449",2097006.99668000010,39131654163.69999694824,1623,0,0
BH>VNAGAR,GUJAR>T,,24,"443",505012.24022099999,6514338031.34999942780,267,16617,62.2359550561798
BHAR@CH,GUJAR>T,,24,"442",802579.90107599995,4745943030.64999961853,198,0,0
S@RAT,GUJAR>T,,24,"459",523086.27817900002,4175888238.05000019073,173,0,0
NAVS>RI,GUJAR>T,,24,"453",327510.17020499997,2126084215.16000008583,89,0,0
VALS>D,GUJAR>T,,24,"462",503925.52896400000,2846762616.40000009537,117,1151,9.83760683760684
AGAR MALWA,MADHYA PRADESH,,23,"667",374654.34239700000,2626911357.63000011444,111,32480,292.612612612613
DISPUTED (RATLAM & MANDSAUR),MADHYA PRADESH,,23,,12984.58521330000,1263972.38528999989,0.0525857014330274,0,0
>GRA,UTTAR PRADESH,,9,"118",787929.47860300005,3902791485.67999982834,163,0,0
AJMER,R>JASTH>N,,8,"86",812709.25638799998,8160298609.52000045776,343,0,0
>LAPPUZHA,KERALA,,32,"554",295137.80891600001,1453745489.94000005722,58,99983,1723.84482758621
AL|GARH,UTTAR PRADESH,,9,"119",498779.44332800002,3585997343.21999979019,148,0,0
ALIRAJPUR,MADHYA PRADESH,,23,"639",481486.80244599999,3206796950.71000003815,130,0,0
DISPUTED (ALIRAJPUR & D>HOD),DISPUTED (MADHYA PRADESH & GUJAR>T),,0,,18063.05542870000,4222065.23000000045,0.175540197851567,0,0
ALMORA,UTTAR>KHAND,,5,"45",394957.24764900003,3054451807.94999980927,124,0,0
ALWAR,R>JASTH>N,,8,"87",908983.51874900004,8091212384.84000015259,335,0,0
AMBEDKARNAGAR,UTTAR PRADESH,,9,"121",384817.94375400001,2242460943.92000007629,91,0,0
AMETHI,UTTAR PRADESH,,9,"640",396742.73799400002,2336051998.92000007629,98,0,0
AMROHA,UTTAR PRADESH,,9,"154",364954.37971399998,2379925279.25000000000,98,0,0
ANANTAPUR,ANDHRA PRADESH,,28,"502",1524559.50704999990,19165556643.40000152588,776,2744194,3536.3324742268
ANUGUL,ODISHA,,21,"344",605948.92970800004,6144341883.10000038147,256,0,0
ANUPPUR,MADHYA PRADESH,,23,"390",563005.80408799998,3628974441.69000005722,150,0,0
ARAVALLI,GUJAR>T,,24,"672",424917.88691800000,3030307976.92999935150,129,0,0
ASHOKNAGAR,MADHYA PRADESH,,23,"391",428702.34131400002,4554381637.06999969482,189,0,0
AURAIYA,UTTAR PRADESH,,9,"122",279215.51035699999,1944745434.89000010490,81,0,0
AZAMGARH,UTTAR PRADESH,,9,"123",498671.91985200002,4057541804.43000030518,171,0,0
BUDAUN,UTTAR PRADESH,,9,"133",449698.11925300001,4112357065.93999958038,169,0,0
B>GALKOT,KARN>TAKA,,29,"524",659839.06856799999,6414875097.54000091553,267,193119,723.292134831461
B>GESHWAR,UTTAR>KHAND,,5,"46",315673.15984199999,2173075913.40000009537,88,0,0
B>GHPAT,UTTAR PRADESH,,9,"124",218392.98638100000,1281800382.94000005722,52,0,0
BAHRAICH,UTTAR PRADESH,,9,"125",578747.61541500001,4776946197.07999992371,194,0,0
BALAGHAT,MADHYA PRADESH,,23,"392",711298.24101999996,8904866537.20999908447,366,0,0
BOLANGIR (BALANGIR),ODISHA,,21,"345",560766.02267900005,6318357757.31000041962,263,0,0
BALASORE (B>LESHWAR),ODISHA,,21,"346",554559.33411299996,3581349597.40000009537,149,0,0
BALL>RI,KARN>TAKA,,29,"528",780219.72859700001,8330054798.35999965668,334,809775,2424.47604790419
BALLIA,UTTAR PRADESH,,9,"126",435847.66576000000,2878350458.86999988556,115,0,0
B>LOD,CHHATT|SGARH,,22,"646",415028.30758899997,3249540771.94000005722,137,28914,211.051094890511
BALODA B>Z>R,CHHATT|SGARH,,22,"644",485313.89706900000,4495468285.35000038147,185,0,0
BALR>MPUR,CHHATT|SGARH,,22,"649",652255.34440800000,6029078270.35000038147,249,0,0
BALRAMPUR,UTTAR PRADESH,,9,"127",461650.34350100002,3225738696.21000003815,131,0,0
BANAS K>NTHA,GUJAR>T,,24,"441",916373.29006599996,10349019412.60000038147,427,0,0
BANDA,UTTAR PRADESH,,9,"128",666400.81344199996,4283882474.25000000000,176,0,0
B>NSW>RA,R>JASTH>N,,8,"88",411359.21857899998,4336303719.10000038147,182,0,0
BARABANKI,UTTAR PRADESH,,9,"129",489434.66960500000,3707078880.88000059128,152,0,0
BARAGARH,ODISHA,,21,"347",603877.34730499994,5624674392.31999969482,229,0,0
B>R>N,R>JASTH>N,,8,"89",632102.19394200004,6726828635.93999958038,277,0,0
BAREILLY,UTTAR PRADESH,,9,"130",516176.11593099998,3985895113.98000049591,164,0,0
B>RMER,R>JASTH>N,,8,"90",1049617.25185999996,27319207031.20000076294,1140,0,0
BARWANI,MADHYA PRADESH,,23,"393",493718.64227000001,5227384390.81000041962,220,0,0
BASTAR,CHHATT|SGARH,,22,"374",569531.12597599998,5228700398.78999996185,218,0,0
BASTI,UTTAR PRADESH,,9,"131",371752.22380799998,2684574246.21000003815,113,0,0
BELAG>VI,KARN>TAKA,,29,"527",1101145.49922999996,13157389060.90000152588,535,547842,1024.00373831776
BEMET>RA,CHHATT|SGARH,,22,"650",379763.71248699998,2155425658.03999996185,88,0,0
BENGAL@RU RURAL,KARN>TAKA,,29,"526",491266.99765999999,2286911394.90999984741,97,279292,2879.29896907217
BENGAL@RU URBAN,KARN>TAKA,,29,"525",332478.19448300003,2189237083.51000022888,86,133014,1546.67441860465
BETUL,MADHYA PRADESH,,23,"394",726502.59591699997,9679103297.63999938965,408,0,0
BHADOHI,UTTAR PRADESH,,9,"179",273256.72492399998,976420388.66999995708,40,0,0
BHADRAK,ODISHA,,21,"348",356631.20418399997,2415828025.28999996185,98,23286,237.612244897959
BHARATPUR,R>JASTH>N,,8,"91",731664.14342099999,4881165658.53999996185,203,0,0
BH|LW>RA,R>JASTH>N,,8,"92",724746.61398599995,10089945542.29999923706,426,0,0
BHIND,MADHYA PRADESH,,23,"395",592535.66903999995,4298496364.60000038147,179,0,0
BHOPAL,MADHYA PRADESH,,23,"396",378109.02190900000,2660915967.94999980927,110,161532,1468.47272727273
B|DAR,KARN>TAKA,,29,"529",551963.04584999999,5296106339.05000019073,218,337494,1548.1376146789
B|J>PUR,CHHATT|SGARH,,22,"636",717764.34033599996,8962483683.11000061035,367,1577,4.29700272479564
BIJNOR,UTTAR PRADESH,,9,"132",381323.12095499999,4465254228.84000015259,185,0,0
B|K>NER,R>JASTH>N,,8,"93",1180982.39229999995,29242823510.20000076294,1210,0,0
BIL>SPUR,CHHATT|SGARH,,22,"375",447081.50785599998,3410747938.82000017166,142,0,0
GAURELA-PENDRA-MARWAHI,CHHATT|SGARH,,22,"734",269819.93649300002,1918218806.11999964714,82,0,0
BIL>SPUR,HIM>CHAL PRADESH,,2,"15",253303.28362500001,1139841150.08999991417,49,0,0
BISHNUPUR,MANIPUR,,14,"252",158213.28630800001,461820332.27200001478,20,35021,1751.05
BOKARO,JH>RKHAND,,20,"322",426028.25347699999,2769081510.11999988556,119,0,0
BULANDSHAHR,UTTAR PRADESH,,9,"134",383798.39097000001,3402373200.41000032425,142,0,0
B@NDI,R>JASTH>N,,8,"94",483675.26263399998,5557825521.47000026703,229,0,0
BURHANPUR,MADHYA PRADESH,,23,"397",333906.40709200001,3107225756.71999979019,128,0,0
