District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,clayey_count,clayey_sum,clayey_mean
KAP@RTHALA,PUNJAB,,3,"35",437645.66748900001,1595462047.00000000000,68,21805,320.661764705882
KARIMNAGAR,TELANG>NA,,36,"508",299187.55706500000,1944842231.25999999046,78,247325,3170.83333333333
KARN>L,HARY>NA,,6,"67",349782.07734199998,2405776731.96999979019,96,0,0
KATIH>R,BIH>R,,10,"201",478940.31666600000,2928810938.65999984741,123,0,0
KHAGARIA,BIH>R,,10,"202",296638.07054400002,1435972672.35999989510,56,0,0
BHADRADRI KOTHAGUDEM,TELANG>NA,,36,"690",620536.30503199995,6719987898.75000000000,273,765151,2802.75091575092
KINNAUR,HIM>CHAL PRADESH,,2,"19",495434.81198100001,6364783590.95000076294,258,0,0
UKHRUL,MANIPUR,Not Verified on Ground,14,"260",269579.39647500002,2011470670.77999973297,83,386946,4662
PHEK,N>G>LAND,,13,"248",289810.11156300001,1801582664.52000021935,74,188747,2550.63513513513
KISHANGANJ,BIH>R,,10,"203",397841.35558199999,1857761059.02000021935,77,48929,635.441558441558
KOCH BIH>R,WEST BENGAL,,19,"308",841654.03021100000,3247437102.73999977112,132,87606,663.681818181818
KOLH>PUR,MAH>R>SHTRA,,27,"480",945182.45642299997,7506208619.80000019073,304,609025,2003.37171052632
KOLK>TA,WEST BENGAL,,19,"315",96223.51866360000,178361733.72699999809,6,0,0
KURUKSHETRA,HARY>NA,,6,"68",263847.59519399999,1629906619.71000003815,64,655,10.234375
KURUNG KUMEY,ARUN>CHAL PRADESH,,12,"233",350111.36437299999,4293936005.40999984741,175,838298,4790.27428571429
L>HUL & SPITI,HIM>CHAL PRADESH,,2,"21",925110.63325800002,13723849956.00000000000,562,0,0
LAKH|SAR>I,BIH>R,,10,"204",227780.12427199999,1174137501.55999994278,47,116881,2486.82978723404
L>T@R,MAH>R>SHTRA,,27,"481",549557.84813800000,6991881390.97999954224,285,976299,3425.61052631579
LOHIT,ARUN>CHAL PRADESH,,12,"234",380960.13075999997,2950775016.21000003815,124,163803,1320.99193548387
LOWER DIB>NG VALLEY,ARUN>CHAL PRADESH,,12,"235",406120.97715699999,3423274244.53999996185,142,139389,981.612676056338
LUDHI>NA,PUNJAB,,3,"36",398856.01997000002,3599128291.44000053406,148,17006,114.905405405405
MADHEPURA,BIH>R,,10,"205",348104.04725399998,1739730361.65000009537,74,0,0
MADHUBANI,BIH>R,,10,"206",479370.37418099999,3372295594.54000043869,143,1045,7.30769230769231
MAHABUBNAGAR,TELANG>NA,,36,"512",430286.90713700000,2736448853.40000009537,110,480926,4372.05454545455
MAHARAJGANJ,UTTAR PRADESH,,9,"164",404449.08306600002,2839810871.63999986649,117,203834,1742.17094017094
MAHENDRAGARH,HARY>NA,,6,"69",396168.04348400002,1869906630.48000001907,74,0,0
M>LDAH,WEST BENGAL,,19,"316",483310.58824999997,3452047666.05000066757,143,135323,946.314685314685
M>NSA,PUNJAB,,3,"37",345168.46661100001,2110335727.31999969482,85,238,2.8
SIDDIPET,TELANG>NA,,36,"692",405896.36558200000,3601690110.63999938965,145,430634,2969.88965517241
MEW>T,HARY>NA,,6,"604",337936.48281299998,1463782591.41000008583,60,53849,897.483333333333
MOGA,PUNJAB,,3,"38",305850.12339500000,2194885167.26999998093,92,0,0
WOKHA,N>G>LAND,,13,"250",255022.83165400001,1548103979.91000008583,66,135339,2050.59090909091
SRI MUKTSAR S>HIB,PUNJAB,,3,"39",353904.86416300002,2570525722.42999982834,106,0,0
MUMBAI CITY,MAH>R>SHTRA,,27,"482",61422.97777950000,62033859.23340000212,2.56156396724948,222.81958930083,86.9857603205146
MUNGER,BIH>R,,10,"207",268751.40835099999,1357713390.55999994278,56,121709,2173.375
MURSHID>B>D,WEST BENGAL,,19,"319",588272.80735500006,5141584760.21000003815,213,1052913,4943.25352112676
MUZAFFARPUR,BIH>R,,10,"208",427403.51451200002,3060657836.90999937057,126,58221,462.071428571429
NADIA,WEST BENGAL,,19,"320",684999.08419900003,3746173399.92999982834,158,409561,2592.1582278481
N>GPUR,MAH>R>SHTRA,,27,"484",650985.89803699998,9538672320.57999992371,397,2563112,6456.20151133501
N>LANDA,BIH>R,,10,"209",407293.66629999998,2278188021.63999986649,94,526515,5601.22340425532
NALGONDA,TELANG>NA,,36,"514",470569.74056700000,7030889222.38000011444,285,946647,3321.56842105263
N>NDED,MAH>R>SHTRA,,27,"485",1053017.43072999991,10199321660.60000038147,424,3140654,7407.20283018868
NANDURB>R,MAH>R>SHTRA,,27,"486",723808.46522899996,5736401138.56000041962,235,1054888,4488.88510638298
N>SHIK,MAH>R>SHTRA,,27,"487",897467.63809799997,14979851771.60000038147,621,2022812,3257.346215781
NAW>DA,BIH>R,,10,"210",381420.36069100001,2396138340.44999980927,99,575793,5816.09090909091
SHAH|D BHAGAT SINGH NAGAR,PUNJAB,,3,"40",263509.14154899999,1234296266.51999998093,50,32743,654.86
NIZAMABAD,TELANG>NA,,36,"516",346070.28886799997,4082862634.67000007629,169,390918,2313.12426035503
NORTH TWENTY-FOUR PARGANAS,WEST BENGAL,,19,"303",591635.65516099997,3852227699.30000019073,159,243600,1532.07547169811
USM>N>B>D,MAH>R>SHTRA,,27,"488",812462.78099200001,7358562067.18999958038,302,1451331,4805.73178807947
P>LGHAR,MAH>R>SHTRA,,27,"665",473314.44491299998,5094568810.93999958038,212,264425,1247.28773584906
PALWAL,HARY>NA,,6,"619",236392.76834600000,1313937684.51999998093,55,71810,1305.63636363636
PANCHKULA,HARY>NA,,6,"70",220844.25383400000,858678376.09199988842,36,0,0
P>N|PAT,HARY>NA,,6,"71",205738.44896099999,1263800771.46000003815,52,0,0
PAPUMPARE,ARUN>CHAL PRADESH,,12,"237",429256.81612500001,3324532414.55999994278,138,355310,2574.71014492754
PARBHANI,MAH>R>SHTRA,,27,"489",595317.48248999997,6105206721.98999977112,255,1873776,7348.14117647059
PASHCHIMI CHAMP>RAN,BIH>R,,10,"211",489853.43231900001,5042948136.82999992371,208,0,0
PASCHIM MEDIN|PUR,WEST BENGAL,,19,"318",556149.94249399996,6037537639.81000041962,253,909710,3595.69169960474
PATH>NKOT,PUNJAB,,3,"662",246908.58751899999,933021429.61000001431,40,0,0
PATI>LA,PUNJAB,,3,"41",638392.49482899997,3227294801.32000017166,134,211139,1575.66417910448
PATNA,BIH>R,,10,"212",567476.30423100002,3073915633.23999977112,129,629794,4882.12403100775
PITHOR>GARH,UTTAR>KHAND,,5,"53",596635.24759499996,7034591198.60999870300,288,0,0
PUNE,MAH>R>SHTRA,,27,"490",1021913.71843999997,15181792460.79999923706,621,2995583,4823.80515297907
P@RBI CHAMP>RAN,BIH>R,,10,"213",479736.56260599999,3827052231.13999986649,159,44287,278.534591194969
P@RNIA,BIH>R,,10,"214",463494.15455400001,3108045538.36999988556,131,0,0
PURULIYA,WEST BENGAL,,19,"321",584001.42604299996,6016746178.15000057220,247,546510,2212.59109311741
R>YGAD,MAH>R>SHTRA,,27,"491",712807.60428199999,6772380900.45999908447,278,517254,1860.62589928058
RANGAREDDY,TELANG>NA,,36,"518",537924.59789600002,4872059069.51000022888,202,1298099,6426.23267326733
RATN>GIRI,MAH>R>SHTRA,,27,"492",733803.82123700005,8081757310.55000019073,330,270606,820.018181818182
REW>RI,HARY>NA,,6,"72",287206.33533500001,1501531415.54999995232,66,5823,88.2272727272727
ROHTAK,HARY>NA,,6,"73",245463.49573200001,1616224665.16999983788,68,0,0
ROHT>S,BIH>R,,10,"215",408552.31269400002,3699484570.92999982834,151,806999,5344.3642384106
R@PNAGAR,PUNJAB,,3,"42",332146.98984300002,1342569809.52999997139,56,121,2.16071428571429
SAHARSA,BIH>R,,10,"216",307404.10225699999,1605644052.47000026703,68,0,0
SAMAST|PUR,BIH>R,,10,"217",463099.31530299998,2573275110.80000019073,109,98536,904
S>NGLI,MAH>R>SHTRA,,27,"493",947268.37584600004,8391930255.02000045776,354,1770830,5002.34463276836
SANGR@R,PUNJAB,,3,"43",516708.80469199998,3510599164.30000019073,141,3429,24.3191489361702
S>RAN,BIH>R,,10,"218",322369.31716500001,2542123199.51999998093,106,71446,674.018867924528
SAS NAGAR (SAH|BZ>DA AJ|T SINGH NAGAR),PUNJAB,,3,"608",315615.19610900001,1065348207.45000004768,43,2003,46.5813953488372
S>T>RA,MAH>R>SHTRA,,27,"494",725488.71266099997,10194658859.10000038147,414,998979,2412.99275362319
SEN>PATI,MANIPUR,,14,"257",240669.07636100001,1683367286.11999964714,70,197919,2827.41428571429
SHEIKHPURA,BIH>R,,10,"219",225076.13792199999,652669229.11899995804,29,215234,7421.86206896552
SHEOHAR,BIH>R,,10,"220",172353.88033799999,428234734.13300001621,17,520,30.5882352941176
SINDHUDURG,MAH>R>SHTRA,,27,"495",607457.84160499997,5000891034.15999984741,204,167735,822.230392156863
SIRSA,HARY>NA,,6,"74",426814.01878099999,4147871217.32000017166,174,39090,224.655172413793
S|T>MARHI,BIH>R,,10,"221",381932.31921799999,2109556706.20000004768,85,234947,2764.08235294118
SIW>N,BIH>R,,10,"222",311945.38538400002,2137754677.17000007629,89,44847,503.898876404494
SOL>PUR,MAH>R>SHTRA,,27,"496",1286705.84715999989,14450282152.00000000000,603,3843752,6374.38142620232
SON|PAT,HARY>NA,,6,"75",280154.81635899999,2112606012.03999996185,86,0,0
SOUTH TWENTY-FOUR PARGANAS,WEST BENGAL,,19,"304",1696638.53141999990,7380975871.01000022888,305,169503,555.747540983607
SUB URBAN MUMBAI,MAH>R>SHTRA,,27,"483",118690.85565300001,418051976.49900001287,17,34580,2034.11764705882
SUPAUL,BIH>R,,10,"223",373518.12911799998,2331739304.96000003815,92,0,0
TAMENGLONG,MANIPUR,,14,"258",377796.10522899998,2901830877.07999992371,119,457654,3845.83193277311
TARN T>RAN,PUNJAB,,3,"609",314763.38614000002,2361087613.76000022888,97,38684,398.80412371134
TAWANG,ARUN>CHAL PRADESH,,12,"238",311006.71283500001,2371676838.21999979019,97,0,0
TH>NE,MAH>R>SHTRA,,27,"497",438859.05902599997,4136100179.65999984741,172,171107,994.808139534884
THOUB>L,MANIPUR,,14,"259",130368.88396700000,378152455.38400000334,15,115746,7716.4
TIR>P,ARUN>CHAL PRADESH,,12,"239",184942.10308000000,1132502137.45000004768,48,143763,2995.0625
K>MJONG,MANIPUR,,14,"717",238791.20768699999,2291046228.11999988556,94,315098,3352.10638297872
UPPER SIANG,ARUN>CHAL PRADESH,,12,"240",478881.59121200000,6489805076.93999958038,265,967505,3650.96226415094
UPPER SUBANSIRI,ARUN>CHAL PRADESH,,12,"241",476128.57510199997,6268085490.82999992371,258,753229,2919.49224806202
UTTAR DIN>JPUR,WEST BENGAL,,19,"311",744493.17900200002,3018031067.05999994278,126,72047,571.801587301587
UTTARK>SHI,UTTAR>KHAND,,5,"57",669211.27814299997,7791379716.94999980927,323,0,0
VAISH>LI,BIH>R,,10,"224",264300.27730600000,1961030614.85999989510,81,159648,1970.96296296296
MULUGU,TELANG>NA,,36,"720",382336.82552600000,4164777330.67000007629,170,491876,2893.38823529412
WARDHA,MAH>R>SHTRA,,27,"498",494888.00371000002,6083172728.76000118256,252,1722526,6835.42063492064
W>SH|M,MAH>R>SHTRA,,27,"499",600302.44519999996,4955811384.28999996185,207,1902177,9189.26086956522
WEST KAMENG,ARUN>CHAL PRADESH,,12,"242",378357.64760500001,4742700076.47000026703,202,173580,859.306930693069
LOWER SIANG,ARUN>CHAL PRADESH,Not Verified on Ground,12,"719",297474.74506900000,1751262989.52999997139,73,20125,275.684931506849
YAMUN>NAGAR,HARY>NA,,6,"76",274920.56299599999,1674414309.22999978065,70,22129,316.128571428571
YAVATM>L,MAH>R>SHTRA,,27,"500",928990.41298300005,13121639303.70000076294,546,3967400,7266.30036630037
DIMAPUR,N>G>LAND,,13,"244",260538.99712000001,734104449.27999997139,29,74256,2560.55172413793
KOHIMA,N>G>LAND,,13,"245",220033.10914600000,1264748302.39000010490,52,149587,2876.67307692308
KIPHIRE,N>G>LAND,,13,"614",191252.72741200001,1087316396.07999992371,46,228215,4961.19565217391
ZUNHEBOTO,N>G>LAND,,13,"251",299587.30264000001,1516332115.80999994278,64,223634,3494.28125
MOKOKCHUNG,N>G>LAND,,13,"246",306785.57919800002,1545211286.71000003815,65,130267,2004.10769230769
MON,N>G>LAND,,13,"247",297229.42662500002,2097915195.03000020981,87,604181,6944.6091954023
TUENSANG,N>G>LAND,,13,"249",275601.53175700002,2053524533.16000032425,82,349867,4266.67073170732
JAMMU,JAMMU AND KASHM|R,,1,"5",379215.13332700002,2375423523.40999984741,90,0,0
LOWER SUBANSIRI,ARUN>CHAL PRADESH,,12,"236",265052.78362200002,1875008315.30999994278,79,480244,6079.03797468354
LONGLENG,N>G>LAND,,13,"615",186647.28306900000,564216056.71800005436,23,65582,2851.39130434783
NONEI,MANIPUR,Not Verified on Ground,14,"714",208746.50124499999,1133651775.59999990463,46,21576,469.04347826087
PHERZAWL,MANIPUR,Not Verified on Ground,14,"715",276653.03063100000,2062707915.89000010490,86,84482,982.348837209302
TENGNOUP>L,MANIPUR,Not Verified on Ground,14,"716",180746.75957600001,1182785073.35999989510,51,277412,5439.45098039216
K>NGPOKPI,MANIPUR,Not Verified on Ground,14,"712",509252.09187900001,1665864941.94000005722,72,278315,3865.48611111111
KAKCHING,MANIPUR,Not Verified on Ground,14,"711",116224.39702200000,307735976.30500000715,14,88532,6323.71428571429
CHARKHI D>DRI,HARY>NA,,6,"701",259526.53805300000,1338808894.22000002861,54,7357,136.240740740741
JH>RGR>M,WEST BENGAL,Not Verified on Ground,19,"703",480353.66233999998,2982702702.90999984741,121,97994,809.867768595041
PASCHIM BARDDHAM>N,WEST BENGAL,Not Verified on Ground,19,"704",289409.54060800001,1739923314.38999986649,71,49252,693.69014084507
K>LIMPONG,WEST BENGAL,Not Verified on Ground,19,"702",175959.21444200000,1054104617.74000000954,44,0,0
JOGULAMBA GADWAL,TELANG>NA,,36,"695",275697.94596899999,2519829844.46000003815,104,562077,5404.58653846154
SIANG,ARUN>CHAL PRADESH,Not Verified on Ground,12,"679",381310.00319500000,3337731638.09999990463,139,833571,5996.91366906475
WEST SIANG,ARUN>CHAL PRADESH,,12,"243",205653.05608899999,1288854388.03999996185,55,501365,9115.72727272727
SHI YOMI,ARUN>CHAL PRADESH,Not Verified on Ground,12,"725",234935.06685900001,2533614848.59000015259,105,0,0
LEPA RADA,ARUN>CHAL PRADESH,Not Verified on Ground,12,"724",136851.79985099999,740599302.21500003338,30,106809,3560.3
PAKKE KESSANG,ARUN>CHAL PRADESH,Not Verified on Ground,12,"723",292751.20506100002,1841756403.83999991417,78,13165,168.782051282051
KRA DAADI,ARUN>CHAL PRADESH,Not Verified on Ground,12,"677",272548.02579500002,1700826022.83000016212,70,551421,7877.44285714286
NAMSAI,ARUN>CHAL PRADESH,Not Verified on Ground,12,"678",173448.76074100001,1295671649.56999993324,54,6649,123.12962962963
KAMLE,ARUN>CHAL PRADESH,Not Verified on Ground,12,"718",226425.94141999999,1331507163.19000005722,55,246514,4482.07272727273
KUMURAM BHEEM,TELANG>NA,,36,"699",447185.46004799998,4389641780.53999996185,179,981759,5484.68715083799
MANCHERIAL,TELANG>NA,,36,"684",418015.09058199998,3735524781.13000011444,154,975789,6336.29220779221
NIRMAL,TELANG>NA,,36,"680",459638.56056399998,3597101915.57999992371,146,861565,5901.1301369863
KAMAREDDY,TELANG>NA,,36,"685",471598.12221200002,3636649674.76999998093,151,759258,5028.19867549669
SANGAREDDY,TELANG>NA,,36,"691",628664.61129499995,4329919641.72999954224,176,1089489,6190.27840909091
NAGARKURNOOL,TELANG>NA,,36,"694",519937.68095700000,6064302746.31999969482,252,637909,2531.38492063492
WANAPARTHY,TELANG>NA,,36,"693",311149.92040800001,2133248183.71000003815,85,226234,2661.57647058824
NARAYANPET,TELANG>NA,,36,"721",347978.23079200002,2351813053.88999986649,97,447401,4612.38144329897
VIKARABAD,TELANG>NA,,36,"698",424080.60599800001,3610141215.44999980927,149,1039512,6976.59060402685
MEDCHAL-MALKAJGIRI,TELANG>NA,,36,"700",211617.34278599999,1046768227.33999991417,45,35038,778.622222222222
YADADRI BHUVANAGIRI,TELANG>NA,,36,"697",379535.13873399998,3144205247.84999990463,129,602230,4668.4496124031
SURYAPET,TELANG>NA,,36,"696",343671.05982500000,3505231009.42000007629,142,472450,3327.11267605634
KHAMMAM,TELANG>NA,,36,"509",622797.31519800005,4560107344.96000003815,190,639737,3367.03684210526
MAHABUBABAD,TELANG>NA,,36,"688",360890.03978100000,3446089924.42999982834,139,398415,2866.29496402878
JANGAON,TELANG>NA,,36,"689",306486.35182200000,2357756404.51999998093,100,332328,3323.28
