District,STATE,floamy,sandy,clayskeletal,clayey
Bemetara,Chhattlsgarh,0.098070455,0,0,0.822769318
Bengalru Rural,Karnataka,0,0,0.287929897,0.602757732
Bengalru Urban,Karnataka,0,0,0.154667442,0.406109302
Betul,Madhya Pradesh,0.559101716,0,0,0.390378676
Bhadohi,Uttar Pradesh,0.7359325,0.0293525,0,0.1069375
Bhadradri Kothagudem,Telangana,0.386630769,0,0.087647253,0.280275092
Bhadrak,Odisha,0.515765306,0,0.023761224,0.188722449
Bhagalpur,Bihar,0.582345455,0.008782828,0,0.085627273
Bhandara,Maharashtra,0.419691566,0,0,0.509378916
Bharatpur,Rajasthan,0.821654187,0.092284236,0,0
Bharch,Gujarat,0.201341919,0,0,0.527633333
Bhavnagar,Gujarat,0.083515356,0,0.006223596,0.708138951
Bhind,Madhya Pradesh,0.251704469,0,0,0.677430168
Bhiwani,Haryana,0.522635606,0.441033333,0,0
Bhllwara,Rajasthan,0.811118779,0.003590141,0,0.03300939
Bhojpur,Bihar,0.567305319,0,0,0.27057766
Bhopal,Madhya Pradesh,0.026932727,0.018549091,0.146847273,0.666267273
Bijnor,Uttar Pradesh,0.710578919,0.151992973,0,0.010182703
Bilaspur,Chhattlsgarh,0.389769718,0,0,0.38671338
Bilaspur,Chhattlsgarh,0.389769718,0,0,0.38671338
Bilaspur,Chhattlsgarh,0.389769718,0.051785714,0,0.38671338
Bilaspur,Chhattlsgarh,0.389769718,0.051785714,0,0.38671338
Bilaspur,Chhattlsgarh,0.239593878,0,0,0.38671338
Bilaspur,Chhattlsgarh,0.239593878,0,0,0.38671338
Bilaspur,Chhattlsgarh,0.239593878,0.051785714,0,0.38671338
Bilaspur,Chhattlsgarh,0.239593878,0.051785714,0,0.38671338
Bilaspur,Himachal Pradesh,0.389769718,0,0,0
Bilaspur,Himachal Pradesh,0.389769718,0,0,0
Bilaspur,Himachal Pradesh,0.389769718,0.051785714,0,0
Bilaspur,Himachal Pradesh,0.389769718,0.051785714,0,0
Bilaspur,Himachal Pradesh,0.239593878,0,0,0
Bilaspur,Himachal Pradesh,0.239593878,0,0,0
Bilaspur,Himachal Pradesh,0.239593878,0.051785714,0,0
Bilaspur,Himachal Pradesh,0.239593878,0.051785714,0,0
Bishnupur,Manipur,0.01976,0,0.175105,0.1743
Biswanath,Assam,0.565158621,0.031196552,0,3.33E-05
Bld,Maharashtra,0.32875,0,0,0.601964419
Bldar,Karnataka,0.274359633,0,0.154813761,0.472526606
Bljapur,Chhattlsgarh,0.628746594,0,0.0004297,0.28663406
Blkaner,Rajasthan,0.537247521,0.44095686,0,0
Blrbhm,West Bengal,0.171289944,0,0,0.682258659
Bndi,Rajasthan,0.608343668,0,0,0.223216157
Bokaro,Jharkhand,0.350446218,0,0,0.366627731
Bolangir Balangir,Odisha,0.493748289,0,0,0.437819011
Bongaigaon,Assam,0.687639535,0,0,0.065269767
Botad,Gujarat,0.130427723,0,0.025549505,0.65920396
Budaun,Uttar Pradesh,0.878091124,0.04222426,0,0.006105325
Bulandshahr,Uttar Pradesh,0.866479577,0.026989437,0,0.003038028
Buldhana,Maharashtra,0.363730233,0,0,0.576018088
Burhanpur,Madhya Pradesh,0.172571875,0,0,0.419439844
Buxar,Bihar,0.460097183,0.081398592,0,0.278883099
Cachar,Assam,0.538425325,0,0,0.323907143
Central,Delhi,0.3528,0,0,0
Chamarajanagar,Karnataka,0.124754148,0,0.205560262,0.498991703
Chamba,Himachal Pradesh,0.518375385,0.074756538,0,0
Chamoli,Uttarakhand,0.474546774,0.074344516,0,0
Champawat,Uttarakhand,0.79073662,0,0,0
Champhai,Mizoram,0.530980292,0,0.037281752,0.202134307
Chandauli,Uttar Pradesh,0.57615,0.09204902,0,0.177321569
Chandel,Manipur,0.322780769,0,0.063252564,0.420260256
Chandigarh,Chandlgarh,0.16956,0.05104,0,0
Chandrapur,Maharashtra,0.259201978,0,0.014846154,0.584678901
Changlang,Arunachal Pradesh,0.369535533,0,0.003014721,0.205022843
Charaideo,Assam,0.869523077,0,0.032048718,0.076469231
Charkhi Dadri,Haryana,0.342835185,0.609935185,0,0.013624074
Chatra,Jharkhand,0.621948718,0,0,0.285298077
Chengalpattu,Tamil Nadu,0.000150442,0.007351327,0.276084956,0.333124779
Chennai,Tamil Nadu,0,0.016815385,0.024838462,0.138176923
Chhatarpur,Madhya Pradesh,0.582830172,0,0,0.349162931
Chhindwara,Madhya Pradesh,0.514873019,0,0,0.407268522
Chhota Udepur,Gujarat,0.072238849,0,0,0.84317554
Chik Ballapur,Karnataka,0.050311696,0,0.432995906,0.333890643
Chikkamagalru,Karnataka,0.043364808,0,0.402438676,0.424785017
Chirang,Assam,0.814914103,0,0,0.093525641
Chitradurga,Karnataka,0.000260947,0,0.313798521,0.517735503
Chitrakoot,Uttar Pradesh,0.710900781,0.073103125,0,0.139213281
Chittaurgarh,Rajasthan,0.562807595,0,0,0.080625316
Chittoor,Andhra Pradesh,0.04565149,0,0.136129967,0.400052483
Chru,Rajasthan,0.154221147,0.827203405,0,0
Churachandpur,Manipur,0.091808,0,0.60412,0.093882
Coimbatore,Tamil Nadu,0.28430582,0,0.009410053,0.408635979
Cuddalore,Tamil Nadu,0.279810884,0.009966667,0.006303401,0.532010204
Cuttack,Odisha,0.343810191,0,0,0.353796815
Dadra  Nagar Haveli,Dadra  Nagar Haveli  Daman  Diu,0.537368421,0,0.165157895,0.182063158
Dahod,Gujarat,0.312985211,0.001916197,0,0.636778873
Dakshin Bastar Dantewada,Chhattlsgarh,0.697155357,0,0,0.188338393
Dakshin Dinajpur,West Bengal,0.763931765,0,0,0.005752941
Dakshina  Kannada,Karnataka,0,0.007333158,0.841858947,0.096591579
Daman,Dadra  Nagar Haveli  Daman  Diu,0,0,0,0
Damoh,Madhya Pradesh,0.358785911,0.003902749,0,0.57667732
Dangs,Gujarat,0.956271831,0,0,0.028966197
Darbhanga,Bihar,0.826465347,0,0,0.056437624
Darjiling,West Bengal,0.6599875,0,0,0.0192625
Darrang,Assam,0.727640984,0,0,0
Datia,Madhya Pradesh,0.171976364,0,0,0.695766364
Dausa,Rajasthan,0.612876978,0.099897842,0,0.107292086
Davangere,Karnataka,0.030708936,0,0.068827234,0.725185106
Dehradn,Uttarakhand,0.4932232,0.0111344,0,0.0154136
Deogarh,Odisha,0.659805042,0,0,0.237268067
Deoghar,Jharkhand,0.64978866,0,0,0.115693814
Deoria,Uttar Pradesh,0.600617,0,0,0.280684
Devbhumi Dwarka,Gujarat,0.099295808,0.001173653,0,0.398181437
Dewas,Madhya Pradesh,0.079252174,0,0.179762681,0.707769565
Dhalai,Tripura,0.505667742,0,0,0.301205376
Dhamtari,Chhattlsgarh,0.563555488,0,0,0.278894512
Dhanbad,Jharkhand,0.720790244,0,0,0.054363415
Dhar,Madhya Pradesh,0.124755828,0,0.120476687,0.698891411
Dharmapuri,Tamil Nadu,0.023616949,0,0.211055932,0.308720339
Dharwad,Karnataka,0,0,0.226148555,0.705692486
Dhaulpur,Rajasthan,0.831669106,0,0,0.033242276
Dhemaji,Assam,0.639309091,0.011950505,0,0
Dhenkanal,Odisha,0.279494944,0,0,0.599205056
Dhubri,Assam,0.430984848,0.056318182,0,0.080604545
Dhule,Maharashtra,0.320836396,0,0,0.613386219
Dibang Valley,Arunachal Pradesh,0.040602597,0,0,0.066708052
Dibrugarh,Assam,0.716982443,0,0.009833588,0.011483206
Dima Hasao,Assam,0.606214583,0,0,0.324323438
Dimapur,Nagaland,0.604393103,0,0,0.256055172
Dindigul,Tamil Nadu,0.028422449,0,0.275272653,0.205782857
Dindori,Madhya Pradesh,0.485150213,0,0,0.485537021
Disputed Alirajpur  Dahod,Disputed Madhya Pradesh  Gujarat,0.000187053,0,0,0.998142584
Disputed Baran  Sheopur,Disputed Madhya Pradesh  Rajasthan,0,0,0,0.959691723
Disputed Mandsaur  Jhalawar,Disputed Madhya Pradesh  Rajasthan,0.521001694,0,0.063512823,0.383620346
Disputed Nimach  Chittaurgarh,Disputed Madhya Pradesh  Rajasthan,0.15109871,0,0,0.835718496
Disputed Ratlam  Banswara,Disputed Madhya Pradesh  Rajasthan,0,0,0,0.9596
Disputed Ratlam  Mandsaur,Madhya Pradesh,0,0,0,0.186300979
Disputed Sabar Kantha  Sirohi,Disputed Rajathan  Gujarat,0.662500977,0,0,0
Disputed Sabar Kantha  Udaipur,Disputed Rajathan  Gujarat,0.482343021,0,0,0.028604779
Disputed Sahibganj Maldah  Katihar,Disputed West Bengal  Bihar  Jharkhand,0.453315076,0,0,2.44E-05
Diu,Dadra  Nagar Haveli  Daman  Diu,0.131749185,0.057571303,0,0.050059979
Dngarpur,Rajasthan,0.549542667,0,0,0.066255333
Doda,Jammu And Kashmlr,0.922806383,0,0,0
Dumka,Jharkhand,0.661361438,0,0,0.247924183
Durg,Chhattlsgarh,0.211443956,0,0,0.654856044
East,Delhi,0.122954513,0,0,0
East,Delhi,0.122954513,0,0,0
East,Delhi,0.122954513,0,0,0
East,Delhi,0.122954513,0,0,0
East,Delhi,0.765844444,0,0,0
East,Delhi,0.765844444,0,0,0
East,Delhi,0.765844444,0,0,0
East,Delhi,0.765844444,0,0,0
East,Sikkim,0.122954513,0,0,0
East,Sikkim,0.122954513,0,0,0
East,Sikkim,0.122954513,0,0,0
East,Sikkim,0.122954513,0,0,0
East,Sikkim,0.765844444,0,0,0
East,Sikkim,0.765844444,0,0,0
East,Sikkim,0.765844444,0,0,0
East,Sikkim,0.765844444,0,0,0
East Garo Hills,Meghalaya,0.476080952,0,0,0.508112698
East Godavari,Andhra Pradesh,0.094276265,0.003967704,0.142009922,0.499074319
East Jaintia Hills,Meghalaya,0.093082927,0,0,0.496179268
East Kameng,Arunachal Pradesh,0.433333898,0.014136158,0,0.204567232
East Khasi Hills,Meghalaya,0.342990179,0,0,0.405148214
East Nimar,Madhya Pradesh,0.180046128,0,0,0.648204714
East Siang,Arunachal Pradesh,0.671938235,0,0,0.068379412
East Singhbhum,Jharkhand,0.596546429,0,0,0.196910714
Ernakulam,Kerala,0.122478151,0.00559916,0.282980672,0.441531933
Erode,Tamil Nadu,0.212450746,0,0.089563184,0.199581592
Etah,Uttar Pradesh,0.561087,0.006003,0,0.230521
Etawah,Uttar Pradesh,0.834384946,0,0,0.022216129
Farldabad,Haryana,0.598363333,0.119613333,0,0
Farldkot,Punjab,0.876605172,0,0,0.04005
Farrukhabad,Uttar Pradesh,0.638513187,0.191642857,0,0.08708022
Fatehabad,Haryana,0.930668687,0.021834343,0,0
Fatehgarh Sahib,Punjab,0.676341304,0.042656522,0,0.180847826
Fatehpur,Uttar Pradesh,0.699835714,0.169234524,0,0.006942857
Fazilka,Punjab,0.602905932,0.275897458,0,0
Firozabad,Uttar Pradesh,0.827047368,0,0,0.058244211
Flrozpur,Punjab,0.53363956,0.255379121,0,0
Gadag,Karnataka,0.094897814,0,0.076330601,0.549313115
Gadchiroli,Maharashtra,0.698633333,0,9.12E-05,0.239764605
Gajapati,Odisha,0.440941916,0,0,0.541117365
Ganderbal,Jammu And Kashmlr,0.33758,0.049093846,0,0
Gandhlnagar,Gujarat,0.888046429,0,0,0
Ganganagar,Rajasthan,0.914495672,0.04037221,0,0
Ganjam,Odisha,0.493716867,0.004425904,0,0.433249398
Garhwa,Jharkhand,0.249222086,0,0,0.398914724
Gariyaband,Chhattlsgarh,0.654526804,0,0.004622165,0.30317732
Gaurelapendramarwahi,Chhattlsgarh,0.666136585,0,0,0.259481707
Gautambudhnagar,Uttar Pradesh,0.652653571,0,0,0
Gaya,Bihar,0.221276382,0,0,0.650313065
Gazipur,Uttar Pradesh,0.696302222,0.09968963,0,0.015051852
Ghaziabad,Uttar Pradesh,0.705513889,0,0,0
Giridih,Jharkhand,0.4528755,0,0,0.36593
Glr Somnath,Gujarat,0.171787736,0.014935849,0.013379245,0.437616981
Goalpara,Assam,0.227689024,0,0,0.555063415
Godda,Jharkhand,0.535861702,0,0,0.394701064
Golaghat,Assam,0.455181955,0.094303759,0,0.192943609
Gomati,Tripura,0.337266154,0,0.012093846,0.35762
Gonda,Uttar Pradesh,0.788864151,0,0,0.147677987
Gondia,Maharashtra,0.352497129,0,0,0.577082775
Gopalganj,Bihar,0.745727711,0,0,0.074731325
Gorakhpur,Uttar Pradesh,0.72962446,0,0,0.079423741
Gumla,Jharkhand,0.443792056,0.01498271,0,0.29811729
Guna,Madhya Pradesh,0.156258431,0,0,0.597077647
Guntur,Andhra Pradesh,0.063011233,0.010243612,0.064962555,0.523238767
Gurdaspur,Punjab,0.828850476,0.036234286,0,0
Gurugram,Haryana,0.58114902,0.198576471,0,0.001819608
Gwalior,Madhya Pradesh,0.215065405,0,0,0.62298
Hailakandi,Assam,0.833686275,0,0,0.102066667
Hamirpur,Uttar Pradesh,0.380638994,0,0,0.558767925
Hamlrpur,Himachal Pradesh,0.281495455,0.148768182,0,0
Hanumangarh,Rajasthan,0.673933421,0.291026316,0,0
Haora,West Bengal,0.116039655,0.302217241,0,0.283493103
Hapur,Uttar Pradesh,0.784965217,0.055343478,0,0.008773913
Harda,Madhya Pradesh,0.139749254,0,0,0.788787313
Hardoi,Uttar Pradesh,0.863492437,0.02557605,0,0
Haridwar,Uttarakhand,0.734348889,0.118253333,0,0
Hassan,Karnataka,0.028356985,0,0.575589338,0.326683824
Hathras,Uttar Pradesh,0.748009859,0,0,0.183253521
Haveri,Karnataka,0.009797938,0,0.35943299,0.487759278
Hazaribagh,Jharkhand,0.36344269,0,0,0.509007018
Hingoli,Maharashtra,0.224594149,0,0,0.729480851
Hisar,Haryana,0.842786585,0.107325,0,0
Hojai,Assam,0.526105263,0,0.088773684,0.319396491
Hoshangabad,Madhya Pradesh,0.156259701,0,0,0.64078097
Hoshiarpur,Punjab,0.581447368,0.211682707,0,0.058327068
Hugli,West Bengal,0.136228682,0.026106202,0,0.615086822
Hyderabad,Telangana,0,0,0.0052375,0.036975
Idukki,Kerala,0.064545763,0,0.00909322,0.88479096
Imphal East,Manipur,0.0143125,0,0,0.88205
Imphal West,Manipur,0.397017647,0,0.085735294,0.201664706
Indore,Madhya Pradesh,0,0,0.032760256,0.89013141
Jabalpur,Madhya Pradesh,0.244454902,0,0,0.665551471
Jagatsinghpur,Odisha,0.041924638,0.02925942,0.034010145,0.560568116
Jagtial,Telangana,0.311055172,0,0.240380172,0.243891379
Jahanabad,Bihar,0.209727027,0,0,0.729327027
Jaipur,Rajasthan,0.613364706,0.231625792,0,0
Jaisalmer,Rajasthan,0.166896347,0.796684018,0,0
Jajapur,Odisha,0.355671304,0,0.015514783,0.337585217
Jalandhar,Punjab,0.808402885,0.071894231,0,0
Jalaun,Uttar Pradesh,0.167083978,0,0,0.735132044
Jalgaon,Maharashtra,0.297471125,0,0,0.603606794
Jalna,Maharashtra,0.445676527,0,0,0.539261736
Jalor,Rajasthan,0.332370258,0.556340515,0,0.005971663
Jalpaiguri,West Bengal,0.706063043,0,0,0
Jami,Bihar,0.306215748,0,0,0.490948819
Jammu,Jammu And Kashmlr,0.437286667,0.12086,0,0
Jamnagar,Gujarat,0.075718333,0,0,0.673394167
Jamtara,Jharkhand,0.901681579,0,0,0.008421053
Jangaon,Telangana,0.284766,0,0.006107,0.332328
Janjglr  Champa,Chhattlsgarh,0.26101413,0,0.010867935,0.584857065
Jashpur,Chhattlsgarh,0.830336864,0.000536441,0.002764407,0.073724153
Jaunpur,Uttar Pradesh,0.898611392,0,0,0.044870253
Jayashankar Bhupalapally,Telangana,0.306902564,0,0.056448718,0.486482906
Jhabua,Madhya Pradesh,0.118017266,0.013410072,0.376328058,0.458082734
Jhajjar,Haryana,0.848578205,0.072082051,0,0
Jhalawar,Rajasthan,0.114729297,0,0.023135547,0.643832422
Jhansi,Uttar Pradesh,0.203156585,0,0,0.655599024
Jhargram,West Bengal,0.726101653,0,0,0.080986777
Jharsuguda,Odisha,0.261604651,0,0,0.472604651
Jhunjhunn,Rajasthan,0.0597125,0.86363125,0,0
Jiribam,Manipur,0.980433333,0,0,0
Jlnd,Haryana,0.953865455,0,0,0.000297273
Jnagadh,Gujarat,0.228426016,0.020092276,0,0.56265935
Jodhpur,Rajasthan,0.445486013,0.473936454,0,0.02495011
Jogulamba Gadwal,Telangana,0.054133654,0,0.0979875,0.540458654
Jorhat,Assam,0.885879452,0,0,0.024934247
Kablrdham,Chhattlsgarh,0.498316667,0,0,0.467927976
Kachchh,Gujarat,0.363314849,0.029990327,0,0.048123352
Kaimur,Bihar,0.370117986,0.000805755,0,0.479363309
Kaithal,Haryana,0.898651613,0,0,0.04426129
Kakching,Manipur,0.066192857,0,0,0.632371429
Kalaburagi,Karnataka,0.259314645,0,0.048134554,0.598429519
Kalahandi,Odisha,0.347028981,0,0,0.612199045
Kalimpong,West Bengal,0.661740909,0,0,0
Kallakkurichi,Tamil Nadu,0.226921986,0,0.327665957,0.249029078
Kamareddy,Telangana,0.249081457,0,0.061671523,0.502819868
Kamjong,Manipur,0.625179787,0,0,0.335210638
Kamle,Arunachal Pradesh,0.072210909,0.12074,0,0.448207273
Kamrup Metro,Assam,0.415070732,0,0,0.338302439
Kamrup Rural,Assam,0.520240157,0,0,0.292694488
Kanchipuram,Tamil Nadu,0.075376471,0.004839706,0.204697059,0.372786765
Kandhamal,Odisha,0.673888785,0,0,0.317766667
Kangpokpi,Manipur,0.225872222,0,0.343565278,0.386548611
Kangra,Himachal Pradesh,0.541806114,0.094307424,0,0
Kannauj,Uttar Pradesh,0.792059036,0.062737349,0,0.048603614
Kannr,Kerala,0.073355556,0,0.27734359,0.589033333
Kanpur,Uttar Pradesh,0.773174138,0.023262931,0,0.040971552
Kanpur Dehat,Uttar Pradesh,0.899558065,0,0,0.044680645
Kanyakumari,Tamil Nadu,0,0,0.191584375,0.65809375
Kaprthala,Punjab,0.635520588,0.131633824,0,0.032066176
Karaikal,Puducherry,0.000257143,0.116642857,0,0.793128571
Karauli,Rajasthan,0.584446907,0.047317526,0,0.171603093
Karbi Anglong,Assam,0.431554795,0.005721918,0,0.534836644
Kargil,Ladakh,0.156499648,0.003898768,0,0
Karimganj,Assam,0.680081579,0,0,0.023732895
Karimnagar,Telangana,0.078234615,0,0.37399359,0.317083333
Karnal,Haryana,0.913336458,0.003245833,0,0
Karr,Tamil Nadu,0.106513913,0,0.290685217,0.21217913
Kasaragod,Kerala,0.13013,0,0.17094375,0.66082625
Kasganj,Uttar Pradesh,0.357055405,0.36962027,0,0.260328378
Kathua,Jammu And Kashmlr,0.700305941,0,0,0
Katihar,Bihar,0.822143902,0.013739837,0,0
Katni,Madhya Pradesh,0.472439394,0,0,0.427239394
Kaushambi,Uttar Pradesh,0.727063889,0.106504167,0,0.008336111
Kendraparha,Odisha,0.256662136,0.005466019,0.066852427,0.442153398
Keonjhar Kendujhar,Odisha,0.547760778,0,0,0.385853593
Khagaria,Bihar,0.768441071,0.0723,0,0
Khammam,Telangana,0.022259474,0,0.400390526,0.336703684
Kheda,Gujarat,0.92904964,0.005508633,0,0.006118705
Kheri,Uttar Pradesh,0.719602922,0.073444805,0,0
Khordha,Odisha,0.514843103,0,0,0.259615517
Khowai,Tripura,0.608542857,0,0,0.236130952
Khunti,Jharkhand,0.223685149,0,0,0.666124752
Kinnaur,Himachal Pradesh,0.101031395,0.050734884,0,0
Kiphire,Nagaland,0.108497826,0,0.316284783,0.496119565
Kishanganj,Bihar,0.638314286,0.031680519,0,0.063544156
Kishtwar,Jammu And Kashmlr,0.503201524,0.010115549,0,0
Koch Bihar,West Bengal,0.577607576,0,0,0.066368182
Kodagu,Karnataka,0.027452727,0,0.36148303,0.601609697
Kodarma,Jharkhand,0.451598462,0,0,0.052506154
Kohima,Nagaland,0.525571154,0,0,0.287667308
Kokrajhar,Assam,0.7946936,0.0746664,0,0.0176512
Kolar,Karnataka,0.006551299,0,0.50569026,0.24153961
Kolasib,Mizoram,0.467413333,0,0,0.513481667
Kolhapur,Maharashtra,0.734113158,0,0,0.200337171
Kolkata,West Bengal,0.048216667,0,0,0
Kollam,Kerala,0.15515102,0,0.421111224,0.322333673
Kondagaon,Chhattlsgarh,0.934413659,0,0,0.026957561
Koppal,Karnataka,0.08289417,0,0.30376278,0.460261435
Koraput,Odisha,0.707903916,0,0.00149759,0.222260843
Korba,Chhattlsgarh,0.692085496,0,0,0.149687023
Korea,Chhattlsgarh,0.527306489,0.03479084,0,0.061331679
Kota,Rajasthan,0.067390547,0,0,0.639676119
Kottayam,Kerala,0.073186364,0.017390909,0.199001136,0.631969318
Kozhikode,Kerala,0.004685714,0,0.454592308,0.471116484
Kra Daadi,Arunachal Pradesh,0.100602857,0,0,0.787744286
Krishna,Andhra Pradesh,0.042438936,0.000703922,0.125251261,0.552814566
Krishnagiri,Tamil Nadu,0,0,0.117676585,0.336980488
Kulgam,Jammu And Kashmlr,0.403403846,0,0,0
Kullu,Himachal Pradesh,0.302140639,0.174314155,0,0
Kumuram Bheem,Telangana,0.182724022,0,0.082629609,0.548468715
Kupwara,Jammu And Kashmlr,0.40453964,0,0,0
Kurnool,Andhra Pradesh,0.022335673,0,0.067616476,0.573980229
Kurukshetra,Haryana,0.918954688,0,0,0.001023438
Kurung Kumey,Arunachal Pradesh,0.107082857,0.009265143,0,0.479027429
Kushinagar,Uttar Pradesh,0.537277778,0,0,0.310604274
Lahul  Spiti,Himachal Pradesh,0.113140214,0.023011032,0,0
Lakhimpur,Assam,0.690676033,0.029890909,0,0
